betcode,ownership,numbers
1,Person,12 19 31 34 51 58
2,Person,5 27 28 31 36 57 59
3,Person,4 8 15 16 23 42
4,Person,8 12 13 33 36 38 49
5,Person,6 11 23 24 44 47 50
6,Person,6 27 28 31 36 57
7,Person,1 7 11 26 32 37 44
8,Person,4 13 15 16 23 42
9,Person,7 16 35 43 48 52 53 56
10,Person,3 9 12 16 20 24 29 32
11,Person,7 14 19 22 28 32 36 43
12,Person,35 38 39 49 50 55 56 58
13,Person,1 12 29 31 37 40 42 60
14,Person,17 24 29 30 39 40 48 49
15,Person,26 28 37 42 43 44 45 60
16,Person,13 16 23 25 29 34 37 39
17,Person,7 8 23 24 25 26 29 30
18,Person,4 12 16 31 35 47 50 59
19,Person,12 13 39 41 46 47 50 60
20,Person,1 6 15 16 29 30 40 48
21,Person,23 26 31 39 41 42 58 59
22,Person,2 27 46 47 50 54 57 59
23,Person,20 25 30 32 36 38 52 57
24,Person,4 19 22 31 36 40 41 60
25,Person,13 20 26 37 40 56 59 60
26,Person,13 15 22 28 38 39 48 51
27,Person,1 14 16 20 23 31 36 37
28,Person,7 10 11 23 27 47 48 53
29,Person,13 21 22 32 36 45 57 59
30,Person,16 19 22 34 36 42 51 53
31,Person,1 12 25 31 34 37 48 60
32,Person,15 17 38 41 42 46 47 49
33,Person,1 14 18 19 30 39 43 55
34,Person,1 6 8 13 22 36 47 60
35,Person,2 18 21 25 34 36 38 55
36,Person,5 19 23 32 33 39 41 43
37,Person,1 12 26 28 29 43 53 56
38,Person,1 3 25 29 30 33 42 45
39,Person,3 10 12 19 31 37 45 49
40,Person,2 6 11 17 26 29 34 47
41,Person,5 8 11 17 22 26 38 51
42,Person,2 14 17 18 20 27 36 46
43,Person,2 18 29 33 35 41 43 53
44,Person,2 15 24 31 32 38 50 58
45,Person,10 22 23 26 29 30 33 35
46,Person,2 3 6 9 12 17 38 55
47,Person,1 7 23 34 38 41 45 57
48,Person,9 14 21 24 28 36 37 51
